Write ^vb++++=Write
a ^at++++=a
short ^jj+atrb+++=short
scene ^nn++++=scene
in ^in++++=in
the ^ati++++=the
style ^nn++++=style
of ^in++++=of
Seinfeld ^np+++??+=Seinfeld
, ^zz++++=,
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
3 ^zz++++=3
friends ^nns++++=friends
, ^zz++++=,
Harvey ^np++++=Harvey
, ^zz++++=,
Jack ^np++++=Jack
and ^cc++++=and
Owen ^np++++=Owen
, ^zz++++=,
discussing ^vbg+++xvbg+=discussing
harvey ^np++++=Harvey
masturbating ^nn++++=masturbating
8 ^zz++++=8
times ^nns++++=times
in ^in++++=in
a ^at++++=a
day ^nn++++=day
. ^zz++++=.
