Suggest ^vb+vpub+++=Suggest
a ^at++++=a
thesis ^nn++++=thesis
sentence ^nn+nom+++=sentence
for ^in++++=for
a ^at++++=a
position ^nn+nom+++=position
paper ^nn++++=paper
that ^tht+rel+subj++=that
would ^md+prd+++=would
pertain ^vb+++??+=pertain
to ^in++++=to
the ^ati++++=the
following ^nn++++=following
. ^zz++++=.
" ^zz++++="
The ^ati++++=The
impact ^nn++++=impact
of ^in++++=of
social ^jj+atrb+++=social
media ^nns++++=media
on ^in++++=on
the ^ati++++=the
popularity ^nn+nom+++=popularity
of ^in++++=of
recreational ^jj+atrb+++=recreational
fishing ^nvbg+++xvbg+=fishing
: ^zz++++=:
In ^in++++=In
this ^dt+dem+++=this
paper ^nn++++=paper
, ^zz++++=,
you ^pp2+pp2+++=you
could ^md+pos+++=could
discuss ^vb++++=discuss
how ^wrb+who+++=how
social ^jj+atrb+++=social
media ^nn++++=media
platforms ^nns++++=platforms
like ^in++++=like
Instagram ^np+++??+=Instagram
and ^cc++++=and
Youtube ^np+++??+=YouTube
have ^vb+hv+aux++=have
influenced ^vprf+++xvbnx+=influenced
the ^ati++++=the
popularity ^nn+nom+++=popularity
of ^in++++=of
recreational ^jj+atrb+++=recreational
fishing ^nvbg+++xvbg+=fishing
, ^zz++++=,
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
potential ^jj+atrb+++=potential
negative ^jj+atrb+++=negative
impacts ^nns+++??+=impacts
that ^tht+rel+++=that
increased ^jj+atrb++xvbn+=increased
fishing ^jj+atrb++xvbg+=fishing
pressure ^nn++++=pressure
can ^md+pos+++=can
have ^vb+hv+vrb++=have
on ^in++++=on
fish ^nns++++=fish
populations ^nns+nom+++=populations
and ^cc++++=and
ecosystems ^nns++++=ecosystems
. ^zz++++=.
" ^zz++++="
