The ^ati++++=The
warlock ^np++++=warlock
Malrus ^np+++??+=Malrus
Dark ^jj+atrb+++=Dark
Mane ^np+++??+=Mane
, ^zz++++=,
tries ^vbz++++=tries
to ^to+vcmp+++=to
open ^vbi++++=open
the ^ati++++=the
book ^nn++++=book
of ^in++++=of
time ^nn++++=time
, ^zz++++=,
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
travel ^vb++++=travel
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
past ^jjb++++=past
, ^zz++++=,
and ^cc+cls+++=and
save ^in++++=save
his ^pp$+pp3+++=his
wife ^nn++++=wife
from ^in++++=from
dieing ^nn++++=dieing
. ^zz++++=.
