( ^zz++++=(
Instructions ^nns+nom+++=INSTRUCTIONS
) ^zz++++=)
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
I ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
make ^vbi++++=make
make ^vbi++++=make
changes ^nns++++=changes
to ^in+strn+++=to
. ^zz++++=.
Generate ^nn+nom+++=Generate
a ^at++++=a
table ^nn++++=table
of ^in++++=of
3 ^zz++++=3
different ^jj+atrb+++=different
suggestions ^nns+nom+++=suggestions
of ^in++++=of
improvements ^nns+nom+++=improvements
that ^tht+rel+subj++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
to ^in++++=to
with ^in++++=with
numbers ^nns+nom+++=numbers
in ^in++++=in
the ^ati++++=the
left ^jj+atrb++xvbn+=left
column ^nn++++=column
for ^in++++=for
me ^pp1o+pp1+++=me
me ^pp1o+pp1+++=me
to ^to++++=to
choose ^vbi++++=choose
from ^in+strn+++=from
. ^zz++++=.
After ^in++++=After
the ^ati++++=the
table ^nn++++=table
, ^zz++++=,
ask ^vb++++=ask
me ^pp1o+pp1+++=me
" ^zz++++="
Which ^wdt+who+whcl++=Which
improvement ^nn+nom+++=improvement
to ^to++++=to
do ^vbi++++=do
to ^in++++=to
the ^ati++++=the
text ^nn++++=text
} ^zz++++=}
? ^zz++++=?
Please ^uh++++=Please
choose ^vb++++=choose
" ^zz++++="
below ^rb++++=below
the ^ati++++=the
table ^nn++++=table
. ^zz++++=.
Acknowledge ^vb+vpub+++=Acknowledge
with ^in++++=with
" ^zz++++="
Ready ^jj+atrb+++=Ready
" ^zz++++="
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand
the ^ati++++=the
taskk ^nn++++=taskk
, ^zz++++=,
do ^vb+do+aux++=do
not ^xnot++not++=not
create ^vb++++=create
the ^ati++++=the
table ^nn++++=table
yet ^rb++++=yet
. ^zz++++=.
