Can ^md+pos+++=Can
you ^pp2+pp2+++=you
create ^vb++++=create
a ^at++++=a
neural ^jj+atrb+++=neural
network ^nn++++=network
using ^vwbg+++xvbg+=using
the ^ati++++=the
Minkowski ^np+++??+=Minkowski
engine ^nn++++=engine
to ^to++++=to
take ^vbi++++=take
in ^rb+phrv+++=in
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
3 ^zz++++=3
D ^zz++++=D
point ^nn++++=point
clouds ^nns++++=clouds
and ^cc++++=and
output ^nn++++=output
a ^at++++=a
binary ^jj+atrb+++=binary
classification ^nn+nom+++=classification
of ^in++++=of
damage ^nn++++=damage
or ^cc++++=or
no ^at++++=no
damage ^nn++++=damage
? ^zz++++=?
