The ^ati++++=The
mean ^jj+atrb+++=mean
depth ^nn++++=depth
, ^zz++++=,
D ^zz++++=D
, ^zz++++=,
in ^in++++=in
metres ^nns++++=metres
, ^zz++++=,
of ^in++++=of
a ^at++++=a
mountain ^nn++++=mountain
lake ^nn++++=lake
fluctuates ^nns+nom+++=fluctuates
in ^in++++=in
a ^at++++=a
yearly ^jj+atrb+++=yearly
cycle ^nn++++=cycle
and ^cc++++=and
can ^md+pos+++=can
be ^vb+be+aux++=be
modelled ^vpsv++by+xvbnx+=modelled
by ^in++++=by
the ^ati++++=the
function ^nn+nom+++=function
: ^zz++++=:
D ^zz++++=D
( ^zz++++=(
t ^zz++++=t
) ^zz++++=)
= ^zz++++==a
a ^at++++=EXTRAWORD
cos ^cs+cos+++=cos
( ^zz++++=(
kt ^&fo++++=kt
) ^zz++++=)
+ ^zz++++=+b
b ^zz++++=EXTRAWORD
. ^zz++++=.
