Please ^uh++++=Please
generate ^nn+nom+++=generate
an ^at++++=an
entry ^nn++++=entry
in ^in++++=in
Jean ^np++++=Jean
Luc ^np+++??+=Luc
Picard ^np+++??+=Picard
s ^zz++++=s
Captain ^npt++++=Captain
s ^zz++++=s
Log ^&fo++++=Log
describing ^jj+++xvbg+=describing
his ^pp$+pp3+++=his
anticipation ^nn+nom+++=anticipation
about ^in++++=about
his ^pp$+pp3+++=his
upcoming ^jj+atrb++xvbg+=upcoming
trip ^nn++++=trip
to ^in++++=to
the ^ati++++=the
Wye ^np++++=Wye
Valley ^nn++++=Valley
In ^in++++=in
Wales ^np++++=Wales
With ^in++++=with
Some ^dti++++=some
Good ^jj+atrb+++=good
Childhood ^nn+nom+++=childhood
Friends ^nns++++=friends
 ^zz++++=.
