Please ^uh++++=Please
write ^vb++++=write
a ^at++++=a
poem ^nn++++=poem
about ^in++++=about
4 ^zz++++=4
people ^nns++++=people
, ^zz++++=,
that ^dt+pdem+++=that
have ^vb+hv+aux++=have
met ^vprf+++xvbnx+=met
in ^in++++=in
a ^at++++=a
Zoom ^np+++??+=Zoom
breakout ^nn+++??+=breakout
room ^nn++++=room
during ^in++++=during
an ^at++++=an
online ^nn+++??+=online
workshop ^nn++++=workshop
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
use ^vbi++++=use
Chatgpt ^np+++??+=ChatGPT
well ^rb++++=well
. ^zz++++=.
Two ^cd++++=Two
are ^vb+ber+vrb++=are
female ^nn++++=female
( ^zz++++=(
Marijana ^np++++=Marijana
and ^cc++++=and
Denisa ^np+++??+=Denisa
) ^zz++++=)
, ^zz++++=,
two ^cd++++=two
are ^vb+ber+vrb++=are
male ^jj+pred+++=male
( ^zz++++=(
Mitja ^np++++=Mitja
and ^cc++++=and
Ivano ^np+++??+=Ivano
) ^zz++++=)
, ^zz++++=,
one ^cd1++++=one
does ^vbz+doz+aux++=does
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
camera ^nn++++=camera
, ^zz++++=,
all ^abn++++=all
are ^vb+ber+vrb++=are
educators ^nns++++=educators
and ^cc++++=and
passionate ^jj++++=passionate
about ^in++++=about
how ^wrb+who+++=how
Chatgpt ^np+++??+=ChatGPT
can ^md+pos+++=can
help ^vb++++=help
design ^nn++++=design
more ^rbr++++=more
powerful ^jj+atrb+++=powerful
learning ^jj+atrb++xvbg+=learning
experiences ^nns+nom+++=experiences
. ^zz++++=.
Aside ^rp++++=Aside
from ^in++++=from
their ^pp$+pp3+++=their
enthusiasm ^nn++++=enthusiasm
, ^zz++++=,
please ^uh++++=please
include ^vb++++=include
some ^dti++++=some
tips ^nns++++=tips
and ^cc++++=and
advice ^nn++++=advice
on ^in++++=on
how ^wrb+who+++=how
to ^in++++=to
use ^nn++++=use
chatgpt ^np++++=ChatGPT
well ^rb++++=well
. ^zz++++=.
