Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
legal ^jj++++=legal
to ^to++++=to
create ^vbi++++=create
a ^at++++=a
new ^jj+atrb+++=new
app ^nn+++??+=app
that ^tht+rel+subj++=that
uses ^vbz++++=uses
my ^pp$+pp1+++=my
Apple ^nn++++=Apple
Id ^np+++??+=ID
to ^to++++=to
allow ^vbi++++=allow
other ^ap++++=other
people ^nns++++=people
to ^to++++=to
pay ^vbi++++=pay
me ^pp1o+pp1+++=me
for ^in++++=for
access ^nn++++=access
to ^in++++=to
my ^pp$+pp1+++=my
apple ^nn++++=Apple
movies ^nns++++=movies
on ^in++++=on
my ^pp$+pp1+++=my
account ^nn++++=account
? ^zz++++=?
