Give ^vb++++=Give
10 ^cd++++=10
examples ^nns++++=examples
of ^in++++=of
small ^jj+atrb+++=small
business ^nns+nom+++=business
case ^nn++++=case
studies ^nns++++=studies
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
from ^in++++=from
nothing ^pn++++=nothing
to ^in++++=to
billions ^nns+++??+=billions
of ^in++++=of
dollars ^nns++++=dollars
in ^in++++=in
worth ^in++++=worth
distributing ^xvbg+++xvbg+=distributing
products ^nns++++=products
from ^in++++=from
small ^jj+atrb+++=small
businesses ^nns+nom+++=businesses
to ^in++++=to
customers ^nns+nom+++=customers
and ^cc++++=and
owning ^vbg+++xvbg+=owning
their ^pp$+pp3+++=their
own ^ap++++=own
manufacturing ^nn++++=manufacturing
line ^nn++++=line
. ^zz++++=.
