Dear ^jj+atrb+++=Dear
Mr ^npt++++=Mr
. ^zz++++=.
Amjad ^np++++=Amjad
, ^zz++++=,
Kindly ^rb++++=Kindly
ask ^vb++++=ask
the ^ati++++=the
company ^nn++++=company
that ^tht+rel+subj++=that
provides ^vbz+vsua+++=provides
the ^ati++++=the
Time ^nn++++=Time
Attendance ^nn+nom+++=Attendance
system ^nn++++=system
to ^to++++=to
create ^vbi++++=create
a ^at++++=a
view ^nn++++=view
in ^in++++=in
the ^ati++++=the
database ^nn+++??+=database
and ^cc++++=and
configure ^nn+++??+=configure
public ^jj+atrb+++=public
Ip ^np+++??+=IP
on ^in++++=on
the ^ati++++=the
server ^nn++++=server
to ^to++++=to
read ^vbn+vprv++xvbn+=read
data ^nns++++=data
from ^in++++=from
outside ^nn++++=outside
. ^zz++++=.
. ^zz++++=.
can ^md+pos+++=Can
you ^pp2+pp2+++=you
rewrite ^nn++++=rewrite
it ^pp3+it+++=it
formal ^jj+atrb+++=Formal
email ^nn++++=email
? ^zz++++=?
