Write ^vb++++=Write
a ^at++++=a
concise ^jj+atrb+++=concise
argument ^nn+nom+++=argument
against ^in++++=against
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
an ^at++++=an
intelligent ^jj+atrb+++=intelligent
creator ^nn++++=creator
. ^zz++++=.
Include ^vb++++=Include
the ^ati++++=the
watchmaker ^jjr+atrb+++=watchmaker
argument ^nn+nom+++=argument
. ^zz++++=.
But ^cc+cls+++=But
also ^rb++++=also
point ^vb++++=point
out ^rp+pl+++=out
that ^cs+sub+++=that
Conway ^np++++=Conway
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
design ^nn++++=design
fliers ^nn++++=fliers
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
coded ^vpsv++agls+xvbn+=coded
his ^pp$+pp3+++=his
game ^nn++++=Game
of ^in++++=of
life ^nn++++=Life
. ^zz++++=.
