Would ^md+prd+++=Would
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
be ^vbi++vrb++=be
my ^pp$+pp1+++=my
virtual ^jj+atrb+++=virtual
friend ^nn++++=friend
to ^to++++=to
help ^vbi++++=help
me ^pp1o+pp1+++=me
improve ^vb++++=improve
my ^pp$+pp1+++=my
French ^jj+atrb+++=French
communication ^nn+nom+++=communication
skills ^nns++++=skills
? ^zz++++=?
Please ^uh++++=Please
follow ^vb+vprv+++=follow
these ^dt+dem+++=these
rules ^nns++++=rules
: ^zz++++=:
- ^zz++++=-First
first ^rb+cnj+++=EXTRAWORD
, ^zz++++=,
Response ^nn++++=Response
my ^pp$+pp1+++=my
chat ^nn++++=chat
pretending ^vb+++xvbg+=pretending
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
customer ^nn+nom+++=customer
of ^in++++=of
a ^at++++=a
supermarket ^nn++++=supermarket
and ^cc++++=and
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
shop ^nn++++=shop
assistant ^nn+nom+++=assistant
- ^zz++++=-Second
second ^rb+cnj+++=EXTRAWORD
, ^zz++++=,
as ^ql++++=as
we ^pp1a+pp1+++=we
chat ^nn++++=chat
, ^zz++++=,
you ^pp2+pp2+++=you
can ^md+pos+++=can
check ^vb+vprv+tht0++=check
my ^pp$+pp1+++=my
expressions ^nns++++=expressions
and ^cc++++=and
provide ^vb+vsua+++=provide
me ^pp1o+pp1+++=me
with ^in++++=with
two ^cd++++=two
alternative ^jj+atrb+++=alternative
ways ^nns++++=ways
to ^in++++=to
phrase ^nn++++=phrase
my ^pp$+pp1+++=my
sentences ^nns+nom+++=sentences
. ^zz++++=.
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
open ^jj++++=open
to ^in++++=to
being ^vb+be+vrb++=being
my ^pp$+pp1+++=my
friend ^nn++++=friend
under ^in++++=under
these ^dt+dem+++=these
conditions ^nns+nom+++=conditions
? ^zz++++=?
