( ^zz++++=(
I ^np++++=I
do ^vb+do+aux++=do
want ^vb++++=want
to ^to+vcmp+++=to
thank ^vbi++++=thank
your ^pp$+pp2+++=your
for ^in++++=for
your ^pp$+pp2+++=your
enthusiasam ^nn+++??+=enthusiasam
for ^in++++=for
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
handle ^vbi++++=handle
tickets ^nns++++=tickets
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
way ^nn++++=way
and ^cc++++=and
you ^pp2+pp2+++=you
should ^md+nec+++=should
keep ^vb++++=keep
up ^rb+phrv+++=up
the ^ati++++=the
great ^jj+atrb+++=great
work ^nn++++=work
) ^zz++++=)
re ^in++++=Re-phrase
- ^zz++++=EXTRAWORD
phrase ^nn++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
user ^nn++++=user
. ^zz++++=.
