Write ^vb++++=Write
an ^at++++=an
inspirational ^nn++++=inspirational
quote ^vb++++=quote
about ^in++++=about
a ^at++++=a
semester ^nn+nom+++=semester
long ^rb++++=long
practical ^jj+atrb+++=practical
course ^nn++++=course
which ^whp+rel+subj++=which
focussed ^vbd+++xvbn+=focussed
on ^in++++=on
developing ^xvbg+++xvbg+=developing
an ^at++++=an
ios ^nns+++??+=iOS
app ^nn+++??+=app
in ^in++++=in
a ^at++++=a
team ^nn++++=team
of ^in++++=of
8 ^zz++++=8
students ^nns++++=students
for ^in++++=for
a ^at++++=a
real ^jj+atrb+++=real
company ^nn++++=company
and ^cc++++=and
use ^nn++++=use
case ^nn++++=case
. ^zz++++=.
