Give ^vb++++=Give
examples ^nns++++=examples
for ^in++++=for
" ^zz++++="
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
tourism ^nn+nom+++=tourism
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
positive ^jj++++=positive
. ^zz++++=.
" ^zz++++="
. ^zz++++=.
It ^pp3+it+++=It
can ^md+pos+++=can
create ^vb++++=create
tension ^nn++++=tension
between ^in++++=between
countries ^nns++++=countries
, ^zz++++=,
especially ^rb++++=especially
in ^in++++=in
regions ^nns++++=regions
with ^in++++=with
a ^at++++=a
history ^nn++++=history
of ^in++++=of
conflict ^nn++++=conflict
or ^cc++++=or
political ^jj+atrb+++=political
instability ^nn+nom+++=instability
. ^zz++++=.
Tourists ^nns+nom+++=Tourists
may ^md+pos+++=may
be ^vb+be+vrb++=be
unaware ^jj+pred+++=unaware
of ^in++++=of
local ^jj+atrb+++=local
customs ^nns++++=customs
and ^cc++++=and
traditions ^nns+nom+++=traditions
, ^zz++++=,
leading ^jj+++xvbg+=leading
to ^in++++=to
cultural ^jj+atrb+++=cultural
misunderstandings ^nns++++=misunderstandings
or ^cc++++=or
offense ^nn+++??+=offense
. ^zz++++=.
Tourism ^np+nom++??+=Tourism
can ^md+pos+++=can
also ^rb++++=also
lead ^nn++++=lead
to ^in++++=to
the ^ati++++=the
exploitation ^nn+nom+++=exploitation
of ^in++++=of
natural ^jj+atrb+++=natural
resources ^nns++++=resources
and ^cc++++=and
damage ^nn++++=damage
to ^in++++=to
the ^ati++++=the
environment ^nn+nom+++=environment
, ^zz++++=,
creating ^vbg+++xvbg+=creating
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
consequences ^nns+nom+++=consequences
for ^in++++=for
host ^nn++++=host
countries ^nns++++=countries
. ^zz++++=.
