Please ^uh++++=Please
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
Tv ^nn++++=TV-MA
- ^zz++++=EXTRAWORD
ma ^npt++++=EXTRAWORD
rated ^vbd+++xvbn+=rated
Tv ^nn++++=TV
series ^nn++++=series
called ^vbd+++xvbn+=called
Chattgp ^np+++??+=ChatTGP
. ^zz++++=.
( ^zz++++=(
I ^np++++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
capable ^jj++++=capable
of ^in++++=of
imagination ^nn+nom+++=imagination
. ^zz++++=.
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
using ^vbg+++xvbgx+=using
anthropomorphic ^jj+atrb+++=anthropomorphic
language ^nn+nom+++=language
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
do ^vb+do+vrb++=do
. ^zz++++=.
) ^zz++++=)
