Using ^vbg+++xvbg+=Using
Python ^np+++??+=Python
( ^zz++++=(
Django ^np++++=Django
) ^zz++++=)
and ^cc++++=and
a ^at++++=a
Postgres ^np+++??+=Postgres
database ^nn+++??+=database
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
possible ^jj++++=possible
to ^to+jcmp+++=to
create ^vbi++++=create
a ^at++++=a
database ^nn+++??+=database
model ^nn++++=model
where ^wrb+who+++=where
one ^cd1++++=one
table ^nn++++=table
can ^md+pos+++=can
be ^vb+be+aux++=be
swopped ^vpsv++agls+xvbnx+=swopped
out ^rp+pl+++=out
with ^in++++=with
another ^dt++++=another
table ^nn++++=table
( ^zz++++=(
that ^dt+pdem+++=that
has ^vbz+hvz+vrb++=has
the ^ati++++=the
same ^ap++++=same
types ^nns++++=types
but ^cc++++=but
different ^jj+atrb+++=different
column ^nn++++=column
names ^nns++++=names
) ^zz++++=)
without ^in++++=without
having ^nn++++=having
to ^in++++=to
change ^nn++++=change
the ^ati++++=the
code ^nn++++=code
to ^in++++=to
point ^nn++++=point
to ^to++++=to
the ^ati++++=the
new ^jj+atrb+++=new
column ^nn++++=column
names ^nns++++=names
? ^zz++++=?
