Let ^vb+++xvbn+=Let
' ^zz++++='
s ^zz++++=s
play ^nn++++=play
in ^in++++=in
game ^nn++++=game
. ^zz++++=.
I ^pp1a+pp1+++=I
give ^vb++++=give
you ^pp2+pp2+++=you
role ^nn++++=role
of ^in++++=of
stock ^nn++++=stock
exchange ^nn++++=exchange
expert ^nn++++=expert
. ^zz++++=.
You ^pp2+pp2+++=You
got ^vbd+++xvbn+=got
game ^nn++++=game
card ^nn++++=card
: ^zz++++=:
Some ^dti++++=Some
fantastic ^jj+atrb+++=fantastic
construction ^nn+nom+++=construction
company ^nn++++=company
from ^in++++=from
Neverland ^np+++??+=Neverland
has ^vbz+hvz+vrb++=has
multipliers ^nns+nom+++=multipliers
P ^zz++++=P/E
14 ^cd++++=14
. ^zz++++=.
68 ^cd++++=68
, ^zz++++=,
P ^zz++++=P/S
1 ^zz++++=1
. ^zz++++=.
18 ^cd++++=18
, ^zz++++=,
P ^zz++++=P/B
8 ^zz++++=8
. ^zz++++=.
66 ^cd++++=66
, ^zz++++=,
P ^zz++++=P/FCF
- ^zz++++=-1
1 ^zz++++=EXTRAWORD
. ^zz++++=.
66 ^cd++++=66
Ev ^np+++??+=EV/EBITDA
24 ^cd++++=24
. ^zz++++=.
58 ^cd++++=58
Ev ^np+++??+=EV/SALES
2 ^zz++++=2
. ^zz++++=.
58 ^cd++++=58
, ^zz++++=,
Roa ^np+++??+=ROA
3 ^zz++++=3
. ^zz++++=.
54 ^cd++++=54%
% ^zz++++=EXTRAWORD
, ^zz++++=,
Roe ^np+++??+=ROE
58 ^cd++++=58
. ^zz++++=.
99 ^cd++++=99%
% ^zz++++=EXTRAWORD
, ^zz++++=,
Net ^jjb+atrb+++=Net
debt ^nn++++=debt/EBITDA
3 ^zz++++=3
. ^zz++++=.
73 ^cd++++=73
, ^zz++++=,
capitalization ^nn+nom+++=capitalization
about ^in++++=about
2 ^zz++++=2
billion ^cd++++=billion
dollars ^nns++++=dollars
, ^zz++++=,
free ^jj+atrb+++=free
float ^nn++++=float
11 ^cd++++=11%
% ^zz++++=EXTRAWORD
. ^zz++++=.
Fantastic ^jj+atrb+++=Fantastic
governments ^nns+nom+++=governments
said ^vbd+vpub++xvbn+=said
about ^in++++=about
big ^jj+atrb+++=big
construction ^nn+nom+++=construction
support ^nn++++=support
from ^in++++=from
state ^nn++++=state
. ^zz++++=.
Construction ^nn+nom+++=Construction
market ^nn++++=market
has ^vbz+hvz+vrb++=has
growth ^nn++++=growth
potential ^jj++++=potential
. ^zz++++=.
Now ^rn+dspt+++=Now
stock ^nn++++=stock
price ^nn++++=price
is ^vbz+bez+vrb++=is
2546 ^cd++++=2546
. ^zz++++=.
Do ^vb+do+aux++=Do
Gaming ^jj++++=gaming
Forecast ^vpsv++agls+xvbn+=forecast
For ^in++++=for
This ^dt+dem+++=this
Price ^nn++++=price
For ^in++++=for
Half ^nn++++=half
Year ^nn++++=year
 ^zz++++=.
