What ^wdt+who+++=What
is ^vbz+bez+vrb++=is
stationarity ^nn+nom+++=stationarity
of ^in++++=of
a ^at++++=a
time ^nn++++=time
series ^nn++++=series
, ^zz++++=,
how ^wrb+who+whq++=how
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
used ^vbd+++xvbn+=used
for ^in++++=for
mean ^jj+atrb+++=mean
reversion ^nn++++=reversion
trading ^vwbg+++xvbg+=trading
strategies ^nns+++??+=strategies
along ^in++++=along
with ^in"++++=with
statistical ^jj+atrb+++=statistical
tests ^nns++++=tests
, ^zz++++=,
their ^pp$+pp3+++=their
mathematical ^jj+atrb+++=mathematical
equation ^nn+nom+++=equation
and ^cc++++=and
related ^xvbn+++xvbn+=related
python ^np++++=Python
code ^nn++++=code
? ^zz++++=?
