How ^wrb+who+++=How
to ^to++++=to
learn ^vbi+vprv+++=learn
Aws ^np+++??+=AWS
Serverless ^np+++??+=Serverless
? ^zz++++=?
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
guidelines ^nns+++??+=guidelines
and ^cc++++=and
a ^at++++=a
potential ^jj+atrb+++=potential
syllabus ^nn++++=syllabus
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
learn ^vb+vprv+++=learn
in ^in++++=in
order ^to++++=order
so ^ql++++=so
that ^cs+sub+++=that
i ^pp1a+pp1+++=I
can ^md+pos+++=can
best ^jjt++++=best
understand ^vb+vprv+++=understand
the ^ati++++=the
serverless ^nn++++=serverless
on ^in++++=on
aws ^np++++=AWS
? ^zz++++=?
