Please ^uh++++=Please
create ^vb++++=create
100 ^cd++++=100
Youtube ^np+++??+=YouTube
channel ^nn++++=channel
types ^nns++++=types
that ^tht+rel+obj++=that
a ^at++++=a
35 ^cd++++=35
year ^nn++++=year
old ^jj++++=old
male ^jj++++=male
registered ^jj+++xvbn+=registered
nurse ^vb++++=nurse
in ^in++++=in
Utah ^np++++=Utah
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
starting ^vbg+++xvbgx+=starting
to ^in++++=to
work ^nn++++=work
at ^in++++=at
the ^ati++++=the
cvicu ^np++++=CVICU
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
become ^vbi++++=become
a ^at++++=a
crna ^np++++=CRNA
can ^md+pos+++=can
do ^vb+do+vrb++=do
? ^zz++++=?
