In ^in++++=In
a ^at++++=a
Mysql ^np+++??+=MySQL
Db ^np+++??+=DB
, ^zz++++=,
I ^pp1a+pp1+++=I
need ^vb++++=need
to ^to+vcmp+++=to
change ^vb++++=change
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
a ^at++++=a
Pk ^np+++??+=PK
column ^nn++++=column
from ^in++++=from
bigint ^nn++++=bigint
to ^in++++=to
char ^nn++++=char
( ^zz++++=(
36 ^cd++++=36
) ^zz++++=)
. ^zz++++=.
there ^ex+pex+++=There
are ^vb+ber+vrb++=are
already ^rb++++=already
many ^ap++++=many
rows ^nns++++=rows
in ^cs+sub+++=in
that ^cs"++++=that
table ^nn++++=table
. ^zz++++=.
