Create ^vb++++=Create
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
personas ^nns+++??+=personas
to ^to++++=to
represent ^vbi++++=represent
all ^abn++++=all
16 ^cd++++=16
Mayers ^nn++++=Mayers-Briggs
- ^zz++++=EXTRAWORD
briggs ^np++++=EXTRAWORD
personality ^nn+nom+++=personality
types ^nns++++=types
. ^zz++++=.
Generate ^nn+nom+++=Generate
a ^at++++=a
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
a ^at++++=a
Coca ^np+++??+=Coca
Cola ^np+++??+=Cola
zero ^cd++++=zero
sugar ^nn++++=sugar
raspberry ^nn++++=Raspberry
drink ^nn++++=drink
by ^in++++=by
each ^dt++++=each
personality ^nn+nom+++=personality
type ^nn++++=type
. ^zz++++=.
" ^zz++++="
