How ^wrb+who+++=How
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I
write ^vb++++=write
a ^at++++=a
small ^jj+atrb+++=small
Python ^np+++??+=Python
http ^nn+++??+=http
server ^nn++++=server
( ^zz++++=(
using ^vbg+++xvbg+=using
Flask ^nn++++=Flask
or ^cc++++=or
some ^dti++++=some
other ^ap++++=other
similar ^jj+atrb+++=similar
framework ^nn++++=framework
) ^zz++++=)
that ^dt+pdem+++=that
has ^vbz+hvz+vrb++=has
three ^cd++++=three
api ^nn+++??+=api
endpoints ^nns+++??+=endpoints
, ^zz++++=,
one ^pn++++=one
for ^in++++=for
getting ^xvbg+++xvbg+=getting
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
" ^zz++++="
the ^ati++++=the
" ^zz++++="
counter ^nn++++=counter
, ^zz++++=,
one ^pn++++=one
for ^in++++=for
incrementing ^nn++++=incrementing
it ^pp3+it+++=it
and ^cc++++=and
one ^pn++++=one
for ^in++++=for
decrementing ^nn++++=decrementing
it ^pp3+it+++=it
? ^zz++++=?
