Let ^vb+++xvbn+=Let
us ^pp1o+pp1+++=us
brainstorm ^jj+atrb++??+=brainstorm
business ^nns+nom+++=business
ideas ^nns++++=ideas
together ^nn+nom+++=together
on ^in++++=on
climate ^nn+nom+++=climate
change ^nn++++=change
and ^cc++++=and
sustainability ^nn+nom+++=sustainability
. ^zz++++=.
Using ^vbg+++xvbg+=Using
blockchain ^nn+++??+=blockchain
technology ^nn++++=technology
where ^wrb+who+++=where
target ^nn++++=target
audience ^nn+nom+++=audience
are ^vb+ber+vrb++=are
teenagers ^nns+nom+++=teenagers
and ^cc++++=and
younger ^jjr+atrb+++=younger
generations ^nns+nom+++=generations
. ^zz++++=.
We ^pp1a+pp1+++=We
want ^vb++++=want
to ^to+vcmp+++=to
have ^vbi++++=have
reward ^nn++++=reward
system ^nn++++=system
based ^vwbn+++xvbn+=based
on ^in++++=on
competition ^nn+nom+++=competition
and ^cc++++=and
gamification ^nn+nom+++=gamification
with ^in++++=with
possibility ^nn+nom+++=possibility
of ^in++++=of
vr ^np++++=VR
and ^cc++++=and
ar ^np++++=AR
. ^zz++++=.
