Please ^uh++++=Please
write ^vb++++=write
a ^at++++=a
300 ^cd++++=300
word ^nn++++=word
example ^nn++++=example
web ^nn++++=web
page ^nn++++=page
for ^in++++=for
Santander ^np+nom++??+=Santander
Uk ^np++++=UK
. ^zz++++=.
The ^ati++++=The
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
web ^nn++++=web
page ^nn++++=page
is ^vbz+bez+aux++=is
to ^to++++=to
divert ^vbi++++=divert
customers ^nns+nom+++=customers
from ^in++++=from
attending ^xvbg+++xvbg+=attending
the ^ati++++=the
branch ^nn++++=branch
, ^zz++++=,
encouraging ^jj++++=encouraging
them ^pp3o+pp3+++=them
to ^to++++=to
instead ^rb+cnj+splt++=instead
use ^vbi++++=use
the ^ati++++=the
santander ^nn++++=santander
. ^zz++++=.
co ^nn++++=co
. ^zz++++=.
uk ^np++++=uk
website ^nn++++=website
to ^to++++=to
find ^vbi+vprv+++=find
information ^nn+nom+++=information
, ^zz++++=,
use ^nn++++=use
our ^pp$+pp1+++=our
chat ^nn++++=chat
bot ^nn+++??+=bot
, ^zz++++=,
or ^cc+cls+++=or
call ^nn++++=call
us ^pp1o+pp1+++=us
. ^zz++++=.
The ^ati++++=The
reading ^jj+atrb++xvbg+=reading
age ^nn++++=age
of ^in++++=of
the ^ati++++=the
page ^nn++++=page
should ^md+nec+++=should
be ^vb+be+vrb++=be
less ^rbr++++=less
than ^in++++=than
11 ^cd++++=11
. ^zz++++=.
