How ^wrb+who+++=How
to ^to++++=to
automate ^nn+nom+++=automate
configuration ^nn+nom+++=configuration
changes ^nns++++=changes
tracking ^vwbg+++xvbg+=tracking
with ^in++++=with
Github ^np+++??+=Github
for ^in++++=for
Mikrotik ^np+++??+=Mikrotik
devices ^nns++++=devices
? ^zz++++=?
Ideally ^rb++++=Ideally
the ^ati++++=the
script ^nn++++=script
for ^in++++=for
exporting ^jj++++=exporting
the ^ati++++=the
configuration ^nn+nom+++=configuration
should ^md+nec+++=should
reside ^vb++++=reside
on ^in++++=on
the ^ati++++=the
Mikrotik ^np+++??+=Mikrotik
device ^nn++++=device
itself ^ppl++++=itself
and ^cc++++=and
be ^vb+be+aux++=be
invoked ^vprf+++xvbn+=invoked
periodically ^rb++++=periodically
by ^in++++=by
the ^ati++++=the
mikrotik ^np++++=Mikrotik
device ^nn++++=device
. ^zz++++=.
