Create ^vb++++=Create
a ^at++++=a
local ^jj+atrb+++=local
Docusaurus ^np+++??+=Docusaurus
plugin ^nn+++??+=plugin
using ^vwbg+++xvbg+=using
Javascript ^np+++??+=Javascript
which ^whp+rel+obj++=which
generates ^nns+nom+++=generates
new ^jj+atrb+++=new
pages ^nns++++=pages
and ^cc++++=and
routes ^nns++++=routes
from ^in++++=from
this ^dt+dem+++=this
array ^nn++++=array
of ^in++++=of
objects ^nns++++=objects
: ^zz++++=:
[ ^zz++++=[Code_Snippet]
code_snippet ^nn++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=.
