Can ^md+pos+++=Can
you ^pp2+pp2+++=you
deduplicate ^nn+nom+++=deduplicate
this ^dt+dem+++=this
list ^nn++++=list
: ^zz++++=:
1 ^zz++++=1
. ^zz++++=.
Apples ^nns++++=Apples
2 ^zz++++=2
. ^zz++++=.
Bananas ^np+++??+=Bananas
3 ^zz++++=3
. ^zz++++=.
Oranges ^np+++??+=Oranges
4 ^zz++++=4
. ^zz++++=.
Strawberries ^nns++++=Strawberries
5 ^zz++++=5
. ^zz++++=.
Kiwis ^np+++??+=Kiwis
6 ^zz++++=6
. ^zz++++=.
Bananas ^np+++??+=Bananas
7 ^zz++++=7
. ^zz++++=.
Oranges ^np+++??+=Oranges
8 ^zz++++=8
. ^zz++++=.
Grapes ^nns++++=Grapes
9 ^zz++++=9
. ^zz++++=.
Kiwis ^np+++??+=Kiwis
10 ^cd++++=10
. ^zz++++=.
Pineapples ^np+++??+=Pineapples
11 ^cd++++=11
. ^zz++++=.
Mango ^np+++??+=Mango
12 ^cd++++=12
. ^zz++++=.
Apples ^nns++++=Apples
13 ^cd++++=13
. ^zz++++=.
mango ^np++++=Mango
14 ^cd++++=14
. ^zz++++=.
watermelon ^nn++++=Watermelon
15 ^cd++++=15
. ^zz++++=.
peaches ^nns++++=Peaches
? ^zz++++=?
