Give ^vb++++=Give
me ^pp1o+pp1+++=me
an ^at++++=an
overview ^nn+++??+=overview
, ^zz++++=,
tables ^nns++++=tables
where ^wrb+who+++=where
appropriate ^jj++++=appropriate
, ^zz++++=,
of ^in++++=of
the ^ati++++=the
grades ^nns++++=grades
, ^zz++++=,
staff ^nn++++=staff
groups ^nns++++=groups
and ^cc++++=and
explanations ^nns+nom+++=explanations
of ^in++++=of
Nhs ^np+++??+=NHS
doctors ^nns++++=doctors
for ^in++++=for
example ^nn++++=example
Consultants ^nns+nom+++=Consultants
, ^zz++++=,
Juniors ^np+++??+=Juniors
, ^zz++++=,
St1 ^np+++??+=ST1
, ^zz++++=,
Sas ^np+++??+=SAS
, ^zz++++=,
Spr ^np+++??+=SpR
, ^zz++++=,
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
relate ^vb++++=relate
, ^zz++++=,
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
new ^jj+pred+++=new
and ^cc+phrs+++=and
old ^jj+atrb+++=old
terminology ^nn++++=terminology
and ^cc+cls+++=and
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
map ^vb++++=map
on ^in+cmpx+++=on
to ^in"++++=to
each ^dt++++=each
other ^ap++++=other
. ^zz++++=.
help ^nn++++=Help
me ^pp1o+pp1+++=me
understand ^vb+vprv+++=understand
the ^ati++++=the
different ^jj+atrb+++=different
groups ^nns++++=groups
. ^zz++++=.
