I ^pp1a+pp1+++=I
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
do ^vb++++=do
this ^dt+dem+++=this
project ^nn++++=project
in ^in++++=in
C ^zz++++=C#
# ^zz++++=EXTRAWORD
. ^zz++++=.
Part ^nn++++=Part
1 ^zz++++=1
: ^zz++++=:
Name ^nn++++=Name
Function ^nn+nom+++=Function
. ^zz++++=.
1 ^zz++++=1
. ^zz++++=.
Create ^vb++++=Create
a ^at++++=a
function ^nn+nom+++=function
that ^tht+rel+subj++=that
asks ^vbz++++=asks
the ^ati++++=the
user ^nn++++=user
to ^in++++=to
input ^nn++++=input
their ^pp$+pp3+++=their
name ^nn++++=name
. ^zz++++=.
2 ^zz++++=2
. ^zz++++=.
return ^vb++++=Return
the ^ati++++=the
user ^nn++++=user
s ^zz++++=s
name ^nn++++=name
as ^in++++=as
a ^at++++=a
string ^nn++++=string
. ^zz++++=.
