Create ^vb++++=Create
a ^at++++=a
telegram ^nn++++=telegram
bot ^nn+++??+=bot
code ^nn++++=code
which ^whp+rel+subj++=which
says ^vbz+vpub+++=says
Hi ^uh++++=Hi
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
user ^nn++++=user
for ^in++++=for
any ^dti++++=any
message ^nn+nom+++=message
received ^vbd+++xvbn+=received
. ^zz++++=.
I ^pp1a+pp1+++=I
will ^md+prd+++=will
be ^vb+be+aux++=be
putting ^vbg+++xvbgx+=putting
the ^ati++++=the
code ^nn++++=code
in ^in++++=in
Lambda ^np+++??+=Lambda
and ^cc++++=and
using ^jj+++xvbg+=using
api ^np++++=API
gateway ^nn++++=Gateway
to ^to++++=to
create ^vbi++++=create
webhook ^nn++++=webhook
for ^in++++=for
the ^ati++++=the
bot ^nn++++=bot
. ^zz++++=.
