Write ^vb++++=Write
a ^at++++=a
D&d ^np+++??+=D&D
adventure ^nn++++=adventure
plot ^nn++++=plot
for ^in++++=for
an ^at++++=an
adventure ^nn++++=adventure
based ^vwbn+++xvbn+=based
of ^in++++=of
the ^ati++++=the
song ^nn++++=song
Smells ^nns++++=Smells
Like ^in++++=Like
A ^at++++=A
Freakshow ^np+++??+=Freakshow
by ^in++++=by
Avatar ^np+++??+=Avatar
in ^in++++=in
the ^ati++++=the
Ravenloft ^np+++??+=Ravenloft
campaign ^nn++++=campaign
setting ^vwbg+++xvbg+=setting
, ^zz++++=,
include ^vb++++=include
the ^ati++++=the
lead ^nn++++=lead
singer ^nn++++=singer
of ^in++++=of
Avatar ^np+++??+=Avatar
as ^in++++=as
a ^at++++=a
character ^nn+nom+++=character
called ^vbd+++xvbn+=called
The ^ati++++=The
Ringleader ^np+nom++??+=Ringleader
as ^ql++++=as
both ^abx++++=both
a ^at++++=a
good ^jj+atrb+++=good
guy ^np++++=guy
and ^cc++++=and
a ^at++++=a
bad ^jj+atrb+++=bad
guy ^np++++=guy
. ^zz++++=.
