My ^pp$+pp1+++=My
application ^nn+nom+++=application
uses ^nns++++=uses
Expressjs ^np+++??+=ExpressJS
with ^in++++=with
Mongodb ^np+++??+=MongoDB
and ^cc++++=and
Mongoose ^np+++??+=Mongoose
. ^zz++++=.
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
a ^at++++=a
functionality ^nn+nom+++=functionality
to ^in++++=to
store ^nn++++=store
notification ^nn+nom+++=notification
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
attributes ^vbz++++=attributes
like ^in+strn+++=like
, ^zz++++=,
content ^nn++++=content
( ^zz++++=(
which ^whp+who+++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
notification ^nn+nom+++=notification
) ^zz++++=)
, ^zz++++=,
type ^nn++++=type
( ^zz++++=(
type ^nn++++=type
of ^in++++=of
notification ^nn+nom+++=notification
such ^abl++++=such
as ^ql++++=as
" ^zz++++="
Skill ^nn++++=Skill
Subscribed ^np+++??+=Subscribed
" ^zz++++="
, ^zz++++=,
" ^zz++++="
user ^nn++++=user
comments ^nns+nom+++=comments
" ^zz++++="
etc ^rb++++=etc
. ^zz++++=.
) ^zz++++=)
. ^zz++++=.
Also ^rb++++=Also
user ^nn++++=user
model ^nn++++=model
and ^cc++++=and
notifications ^nns+nom+++=notifications
are ^vb+ber+aux++=are
separated ^xvbn+++xvbn+=separated
into ^in++++=into
two ^cd++++=two
different ^jj+atrb+++=different
models ^nns++++=models
. ^zz++++=.
