A ^at++++=A
scene ^nn++++=scene
from ^in++++=from
a ^at++++=a
romantic ^jj+atrb+++=romantic
comedy ^nn++++=comedy
movie ^nn++++=movie
about ^in++++=about
a ^at++++=a
young ^jj+atrb+++=young
engineer ^nn+nom+++=engineer
named ^vbd+++xvbn+=named
Jeff ^np+++??+=Jeff
who ^whp+rel+subj++=who
cannot ^md+pos+not++=cannot
get ^vb++++=get
any ^dti++++=any
work ^vb++++=work
done ^vbd+++xvbn+=done
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
obsessed ^vbd+++xvbn+=obsessed
with ^in++++=with
crt ^np++++=CRT
tvs ^np++++=TVs
and ^cc++++=and
the ^ati++++=the
snes ^np++++=SNES
. ^zz++++=.
