Write ^vb++++=Write
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
a ^at++++=a
20 ^cd++++=20
chapter ^nn++++=chapter
children ^nns++++=children
' ^zz++++='
s ^zz++++=s
book ^nn++++=book
involving ^vwbg+++xvbg+=involving
Emma ^np++++=Emma
, ^zz++++=,
Jack ^np++++=Jack
, ^zz++++=,
and ^cc+cls+++=and
Sophie ^np++++=Sophie
make ^vb++++=make
it ^pp3+it+++=it
a ^at++++=a
hyper ^jjr+atrb+++=hyper
detailed ^jj+atrb+++=detailed
story ^nn++++=story
of ^in++++=of
them ^pp3o+pp3+++=them
finding ^vbg+++xvbg+=finding
a ^at++++=a
time ^nn++++=time
machine ^nn++++=machine
on ^in++++=on
a ^at++++=a
vacant ^jj+atrb+++=vacant
lot ^nn++++=lot
in ^in++++=in
their ^pp$+pp3+++=their
neighborhood ^nn+nom+++=neighborhood
owned ^vwbn+++xvbn+=owned
by ^in++++=by
a ^at++++=a
Scrooge ^np+++??+=Scrooge
like ^in++++=like
grumpy ^nn+++??+=grumpy
old ^jj+atrb+++=old
man ^nn++++=man
, ^zz++++=,
they ^pp3a+pp3+++=they
end ^vb++++=end
up ^rp++++=up
traveling ^nn+nom+++=traveling
back ^jjb++++=back
in ^in++++=in
time ^nn++++=time
to ^to++++=to
1776 ^cd+date+++=1776
, ^zz++++=,
it ^pp3+it+++=it
should ^md+nec+++=should
have ^vb+hv+vrb++=have
at ^rb++++=at
least ^rb"++++=least
1 ^zz++++=1
, ^zz++++=,
000 ^nn++++=000
words ^nns++++=words
, ^zz++++=,
flush ^rb++++=flush
out ^rp+pl+++=out
the ^ati++++=the
characters ^nns+nom+++=characters
more ^rbr++++=more
. ^zz++++=.
