Can ^md+pos+++=Can
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
a ^at++++=a
qemu ^nn+++??+=qemu-system-x86_64
- ^zz++++=EXTRAWORD
system ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
x86_64 ^nn+++??+=EXTRAWORD
for ^in++++=for
installing ^xvbg+++xvbg+=installing
Ubuntu ^np+++??+=Ubuntu
using ^vwbg+++xvbg+=using
a ^at++++=a
Cd ^&fo++++=CD
rom ^np++++=rom
while ^cs+sub+++=while
exposing ^vbg+++xvbg+=exposing
it ^pp3+it+++=it
to ^to++++=to
: ^zz++++=:
1 ^zz++++=1
port ^npl++++=port
using ^vbg+++xvbg+=using
vnc ^np++++=VNC
and ^cc++++=and
port ^npl++++=port
forwarding ^jj++++=forwarding
22 ^cd++++=22
and ^cc++++=and
844 ^cd++++=844
? ^zz++++=?
