Write ^vb++++=Write
a ^at++++=a
method ^nn++++=method
which ^whp+rel+subj++=which
takes ^vbz++++=takes
a ^at++++=a
string ^nn++++=string
as ^ql++++=as
an ^at++++=an
input ^nn++++=input
and ^cc++++=and
removes ^vbz++++=removes
all ^abn++++=all
characters ^nns+nom+++=characters
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
duplicates ^nns+nom+++=duplicates
in ^in++++=in
the ^ati++++=the
string ^nn++++=string
. ^zz++++=.
Each ^dt++++=Each
character ^nn+nom+++=character
should ^md+nec+++=should
only ^rb+down+splt++=only
appear ^vb+seem+++=appear
, ^zz++++=,
at ^rb++++=at
most ^ql+emph+++=most
, ^zz++++=,
one ^cd1++++=one
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
results ^nns++++=results
( ^zz++++=(
case ^nn++++=case
insensitive ^nn++++=insensitive
) ^zz++++=)
. ^zz++++=.
