Is ^vbz+bez+vrb++=Is
bbw ^nn+++??+=bbw
a ^at++++=a
scaled ^vprf+++xvbn+=scaled
indicator ^nn++++=indicator
? ^zz++++=?
I ^pp1a+pp1+++=I
mean ^jj++++=mean
is ^vbz+bez+aux++=is
it ^pp3+it+++=it
indicates ^nns+nom+++=indicates
the ^ati++++=the
same ^ap++++=same
amount ^nn++++=amount
of ^in++++=of
standart ^nn+++??+=standart
error ^nn++++=error
if ^cs+cnd+++=if
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
0 ^zz++++=0
. ^zz++++=.
02 ^nn+++??+=02
in ^in++++=in
a ^at++++=a
symbol ^nn++++=symbol
chart ^nn++++=chart
x ^zz++++=x
and ^cc++++=and
a ^at++++=a
different ^jj+atrb+++=different
sybol ^nn++++=sybol
chart ^nn++++=chart
y ^zz++++=y
. ^zz++++=.
