Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
Dnd ^np+++??+=DnD
Adventure ^nn++++=Adventure
that ^tht+rel+subj++=that
revolves ^vbz++++=revolves
around ^rp++++=around
a ^at++++=a
party ^nn++++=party
of ^in++++=of
fresh ^jj+atrb+++=fresh
mercenary ^nn+nom+++=mercenary
recruits ^nns++++=recruits
called ^vbd+++xvbn+=called
the ^ati++++=the
Crows ^np+++??+=Crows
as ^ql++++=as
they ^pp3a+pp3+++=they
make ^vb++++=make
their ^pp$+pp3+++=their
way ^nn++++=way
through ^in++++=through
the ^ati++++=the
lands ^nns++++=lands
of ^in++++=of
a ^at++++=a
nation ^nn++++=nation
split ^vwbn+++xvbn+=split
by ^in++++=by
three ^cd++++=three
way ^nn++++=way
civil ^jj+atrb+++=civil
war ^nn++++=war
, ^zz++++=,
disease ^nn++++=disease
, ^zz++++=,
famine ^nn++++=famine
, ^zz++++=,
and ^cc+cls+++=and
threats ^nns++++=threats
of ^in++++=of
the ^ati++++=the
udnead ^nn++++=udnead
. ^zz++++=.
