Write ^vb++++=Write
a ^at++++=a
talk ^nn++++=talk
abstract ^jj++++=abstract
and ^cc++++=and
title ^nn++++=title
for ^in++++=for
a ^at++++=a
technical ^jj+atrb+++=technical
session ^nn++++=session
focusing ^vwbg+++xvbg+=focusing
on ^in++++=on
the ^ati++++=the
history ^nn++++=history
to ^in++++=to
monorepo ^jj+atrb++??+=monorepo
tooling ^nn+nom+++=tooling
for ^in++++=for
the ^ati++++=the
Javascript ^np+++??+=JavaScript
ecosystem ^nn+++??+=ecosystem
, ^zz++++=,
and ^cc+cls+++=and
how ^wrb+who+++=how
the ^ati++++=the
tools ^nns++++=tools
can ^md+pos+++=can
help ^vb++++=help
your ^pp$+pp2+++=your
company ^nn++++=company
. ^zz++++=.
