Create ^vb++++=Create
a ^at++++=a
code ^nn++++=code
in ^in++++=in
Vuejs ^np+++??+=VueJs
to ^in++++=to
display ^nn++++=display
an ^at++++=an
Html ^np+++??+=HTML
table ^nn++++=table
that ^tht+rel+subj++=that
contains ^vbz++++=contains
a ^at++++=a
row ^nn++++=row
per ^nnu++++=per
country ^nn++++=country
. ^zz++++=.
On ^in++++=On
each ^dt++++=each
row ^nn++++=row
I ^pp1a+pp1+++=I
want ^vb++++=want
the ^ati++++=the
following ^jj+atrb++xvbg+=following
columns ^nns++++=columns
: ^zz++++=:
1 ^zz++++=1
. ^zz++++=.
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
country ^nn++++=Country
. ^zz++++=.
