Write ^vb++++=Write
a ^at++++=a
Linkedin ^np+++??+=LinkedIn
post ^nn++++=post
saying ^vwbg+++xvbg+=saying
Congratulations ^nns+nom+++=Congratulations
to ^in++++=to
Monique ^np+++??+=Monique
Rodriguez ^np++++=Rodriguez
in ^in++++=in
forging ^xvbg+++xvbg+=forging
this ^dt+dem+++=this
major ^jj+atrb+++=major
partnership ^nn+nom+++=partnership
with ^in++++=with
P&g ^np+++??+=P&G
and ^cc++++=and
talk ^nn++++=talk
about ^in++++=about
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
celebrating ^vbg+++xvbg+=celebrating
and ^cc++++=and
recognzing ^jj+atrb+++=recognzing
black ^jj+atrb+++=black
businesses ^nns+nom+++=businesses
. ^zz++++=.
