Write ^vb++++=Write
this ^dt+dem+++=this
chapter ^nn++++=chapter
: ^zz++++=:
The ^ati++++=The
Four ^cd++++=Four
Horsemen ^nns++++=Horsemen
of ^in++++=of
the ^ati++++=the
Apocalypse ^np+++??+=Apocalypse
. ^zz++++=.
Discussion ^nn++++=Discussion
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
horsemen ^nns++++=horsemen
and ^cc++++=and
their ^pp$+pp3+++=their
significance ^nn+nom+++=significance
. ^zz++++=.
Interpretation ^nn+nom+++=Interpretation
of ^in++++=of
the ^ati++++=the
horsemen ^nns++++=horsemen
as ^ql++++=as
representing ^jj+++xvbg+=representing
the ^ati++++=the
various ^jj++++=various
physical ^jj++++=physical
and ^cc+phrs+++=and
emotional ^jj++++=emotional
challenges ^vbz++++=challenges
that ^cs+sub+++=that
a ^at++++=a
person ^nn++++=person
must ^md+nec+++=must
face ^vb++++=face
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
achieve ^vb++++=achieve
spiritual ^jj+atrb+++=spiritual
growth ^nn++++=growth
. ^zz++++=.
Explanation ^nn+nom+++=Explanation
of ^in++++=of
how ^wrb+who+++=how
to ^to++++=to
overcome ^vbi++++=overcome
each ^dt++++=each
challenge ^vb++++=challenge
and ^cc++++=and
progress ^nns+nom+++=progress
on ^in++++=on
the ^ati++++=the
spiritual ^jj+atrb+++=spiritual
journey ^nn++++=journey
. ^zz++++=.
