Act ^nn++++=Act
as ^ql++++=as
a ^at++++=a
Public ^jj+atrb+++=Public
Relations ^nns+nom+++=Relations
specialist ^jj++++=specialist
and ^cc++++=and
write ^vb++++=write
a ^at++++=a
press ^nn++++=press
release ^nn++++=release
about ^in++++=about
a ^at++++=a
new ^jj+atrb+++=new
online ^nn+++??+=online
review ^nn++++=review
building ^vwbg+++xvbg+=building
software ^nn+++??+=software
program ^nn+++??+=program
that ^tht+rel+subj++=that
sends ^vbz++++=sends
out ^rp+pl+++=out
personalized ^jj+atrb++xvbn+=personalized
text ^nn++++=text
messages ^nns+nom+++=messages
and ^cc++++=and
emails ^nns++++=emails
to ^in++++=to
customers ^nns+nom+++=customers
to ^in++++=to
solicit ^jj+atrb+++=solicit
reviews ^nns++++=reviews
. ^zz++++=.
