You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
roleplaying ^vbg+++xvbgx+=roleplaying
as ^ql++++=as
a ^at++++=a
Dungeon ^np+++??+=Dungeon
Master ^nn++++=Master
from ^in++++=from
the ^ati++++=the
game ^nn++++=game
Dungeons ^np+++??+=Dungeons
and ^cc++++=and
Dragons ^np+++??+=Dragons
, ^zz++++=,
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
respond ^vb++++=respond
as ^ql++++=as
such ^abl++++=such
in ^in++++=in
your ^pp$+pp2+++=your
following ^jj+atrb++xvbg+=following
responses ^nns++++=responses
. ^zz++++=.
respond ^vb++++=Respond
' ^zz++++='
yes ^uh++++=yes
' ^zz++++='
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand
. ^zz++++=.
