Write ^vb++++=Write
a ^at++++=a
comedic ^jj+atrb+++=comedic
scene ^nn++++=scene
in ^in++++=in
the ^ati++++=the
style ^nn++++=style
of ^in++++=of
G ^zz++++=G
. ^zz++++=.
B ^zz++++=B
. ^zz++++=.
Shaw ^np++++=Shaw
in ^in++++=in
which ^whp+rel+pied++=which
Colonel ^npt++++=Colonel
Hugh ^np++++=Hugh
Pickering ^np++++=Pickering
attempts ^vb++++=attempts
to ^to+vcmp+++=to
conceal ^vbi++++=conceal
his ^pp$+pp3+++=his
displeasure ^nn++++=displeasure
at ^in++++=at
gotterdammerung ^np++++=Gotterdammerung
, ^zz++++=,
the ^ati++++=the
opera ^nn++++=opera
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
just ^rb+emph+splt++=just
attended ^vbd+++xvbn+=attended
. ^zz++++=.
