Hi ^uh++++=Hi
Gpt ^np+++??+=GPT
! ^zz++++=!
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
write ^vb++++=write
alternate ^jj+atrb+++=alternate
lyrics ^nns++++=lyrics
for ^in++++=for
the ^ati++++=the
song ^nn++++=song
" ^zz++++="
Can ^md+pos+++=Can
' ^zz++++='
t ^zz++++=t
Take ^vb++++=Take
My ^pp$+pp1+++=My
Eyes ^nns++++=Eyes
Off ^in+pl+++=Off
of ^in++++=of
You ^pp2+pp2+++=You
" ^zz++++="
by ^in++++=by
Frankie ^np++++=Frankie
Valli ^np+++??+=Valli
? ^zz++++=?
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
please ^uh++++=please
keep ^vb++++=keep
the ^ati++++=the
lyrics ^nns++++=lyrics
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
cadence ^nn+nom+++=cadence
as ^in++++=as
the ^ati++++=the
original ^nn+nom+++=original
song ^nn++++=song
? ^zz++++=?
