Write ^vb++++=Write
the ^ati++++=the
marketing ^nn++++=marketing
blurb ^nn++++=blurb
announcing ^vwbg+++xvbg+=announcing
a ^at++++=a
new ^jj+atrb+++=new
fashion ^nn++++=fashion
house ^npl++++=house
called ^vbd+++xvbn+=called
" ^zz++++="
Protest ^nn++++=Protest-Ant
- ^zz++++=EXTRAWORD
ant ^nn++++=EXTRAWORD
" ^zz++++="
. ^zz++++=.
Its ^pp$+it+++=Its
style ^nn++++=style
embraces ^nns++++=embraces
grim ^jj+atrb+++=grim
severity ^nn+nom+++=severity
and ^cc++++=and
eschews ^nns+++??+=eschews
all ^abn++++=all
the ^ati++++=the
fun ^nn++++=fun
also ^rb++++=also
avoided ^vpsv++by+xvbn+=avoided
by ^in++++=by
hardline ^nn++++=hardline
calvinists ^nns+nom+++=Calvinists
and ^cc++++=and
puritans ^nns+nom+++=Puritans
. ^zz++++=.
