Write ^vb++++=Write
a ^at++++=a
short ^jj+atrb+++=short
story ^nn++++=story
in ^in++++=in
a ^at++++=a
medieval ^jj+atrb+++=medieval
fantasy ^nn++++=fantasy
( ^zz++++=(
Dungeon ^np++++=Dungeon
and ^cc++++=and
Dragons ^np+++??+=Dragons
) ^zz++++=)
setting ^nvbg+++xvbg+=setting
about ^in++++=about
an ^at++++=an
adventuring ^nn++++=adventuring
party ^nn++++=party
that ^tht+rel+subj++=that
consists ^nns+nom+++=consists
of ^in++++=of
Cassius ^np+++??+=Cassius
, ^zz++++=,
Dolion ^np+++??+=Dolion
, ^zz++++=,
and ^cc+cls+++=and
G ^zz++++=G
nther ^jjr++++=nther
who ^whp+who+++=who
are ^vb+ber+vrb++=are
close ^jj+atrb+++=close
friends ^nns++++=friends
. ^zz++++=.
make ^vb++++=Make
it ^pp3+it+++=it
funny ^jj++++=funny
with ^in++++=with
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
drama ^nn++++=drama
. ^zz++++=.
