Write ^vb++++=Write
an ^at++++=an
introductory ^jj+atrb+++=introductory
paragraph ^nn++++=paragraph
for ^in++++=for
a ^at++++=a
two ^cd++++=two
topic ^nn++++=topic
essay ^nn++++=essay
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
this ^dt+dem+++=this
thesis ^nn++++=thesis
sentence ^nn+nom+++=sentence
: ^zz++++=:
My ^pp$+pp1+++=My
experiences ^nns+nom+++=experiences
and ^cc++++=and
observations ^nns+nom+++=observations
of ^in++++=of
my ^pp$+pp1+++=my
brother ^nn++++=brother
and ^cc++++=and
sister ^nn++++=sister
have ^vb+hv+aux++=have
shaped ^vprf+++xvbnx+=shaped
my ^pp$+pp1+++=my
understanding ^nn++++=understanding
of ^in++++=of
the ^ati++++=the
complexities ^nns+nom+++=complexities
of ^in++++=of
sibling ^nn+nom+++=sibling
relationships ^nns+nom+++=relationships
. ^zz++++=.
