Can ^md+pos+++=Can
global ^jj+atrb+++=global
warming ^nvbg+++xvbg+=warming
be ^vb+be+vrb++=be
meaningfully ^jj++++=meaningfully
addressed ^jj+++xvbn+=addressed
within ^in++++=within
capitalism ^nn+nom+++=capitalism
? ^zz++++=?
In ^in++++=In
your ^pp$+pp2+++=your
response ^nn++++=response
, ^zz++++=,
please ^uh++++=please
address ^nns+nom+++=address
whether ^cs+who+++=whether
overcoming ^jj+atrb++xvbg+=overcoming
capitalism ^nn+nom+++=capitalism
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
, ^zz++++=,
and ^cc+cls+++=and
on ^in++++=on
what ^wdt+who+++=what
timescale ^nn++++=timescale
relative ^jj++++=relative
to ^in++++=to
global ^jj++++=global
warming ^vbg+++xvbg+=warming
. ^zz++++=.
