Write ^vb++++=Write
code ^nn++++=code
to ^in++++=to
retrieve ^jj+atrb++??+=retrieve
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
website ^nn++++=website
procyclingstats ^nns+++??+=procyclingstats
. ^zz++++=.
com ^nn+++??+=com
. ^zz++++=.
The ^ati++++=The
output ^nn++++=output
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
list ^nn++++=list
that ^tht+rel+obj++=that
links ^nns++++=links
each ^dt++++=each
rider ^nn++++=rider
to ^in++++=to
the ^ati++++=the
list ^nn++++=list
of ^in++++=of
races ^nns++++=races
he ^pp3a+pp3+++=he
will ^md+prd+++=will
take ^vb++++=take
part ^nn++++=part
in ^in++++=in
in ^in++++=in
2023 ^cd++++=2023
. ^zz++++=.
