Write ^vb++++=Write
my ^pp$+pp1+++=my
a ^at++++=a
dramatic ^jj+atrb+++=dramatic
and ^cc+phrs+++=and
funny ^jj+atrb+++=funny
story ^nn++++=story
about ^in++++=about
a ^at++++=a
peaceful ^jj+atrb+++=peaceful
family ^nn++++=family
of ^in++++=of
alligators ^nns++++=alligators
, ^zz++++=,
just ^rb+emph+++=just
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
make ^vbi++++=make
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
Florida ^np++++=Florida
Everglades ^np+++??+=Everglades
, ^zz++++=,
then ^rn+tm+++=then
Mickey ^np+++??+=Mickey
Mouse ^nn++++=Mouse
Rolls ^np++++=rolls
Up ^rb+phrv+++=up
With ^in+ppvb+++=with
A ^at++++=a
Deed ^nn++++=deed
To ^to++++=to
The ^ati++++=the
Swamps ^nns++++=swamps
 ^zz++++=.
