Write ^vb++++=Write
an ^at++++=an
entire ^jjb+atrb+++=entire
article ^nn++++=article
with ^in++++=with
the ^ati++++=the
title ^nn++++=title
" ^zz++++="
Pothole ^np+++??+=Pothole
Damage ^nn++++=Damage
Costs ^nns++++=Costs
Us ^pp1o+pp1+++=US
Drivers ^nns+nom+++=Drivers
$ ^zz++++=$3
3 ^zz++++=EXTRAWORD
Billion ^cd++++=Billion
a ^at++++=a
Year ^nn++++=Year
" ^zz++++="
. ^zz++++=.
This ^dt+pdem+++=This
should ^md+nec+++=should
list ^vb++++=list
the ^ati++++=the
states ^nns++++=states
with ^in++++=with
the ^ati++++=the
worst ^jjt+atrb+++=worst
cities ^nns++++=cities
and ^cc++++=and
worst ^jjt+atrb+++=worst
states ^nns++++=states
for ^in++++=for
potholes ^nns+++??+=potholes
, ^zz++++=,
what ^wdt+who+++=what
the ^ati++++=the
negative ^jj+atrb+++=negative
effects ^nns++++=effects
of ^in++++=of
potholes ^nns+++??+=potholes
are ^vb+ber+vrb++=are
to ^in++++=to
your ^pp$+pp2+++=your
car ^nn++++=car
, ^zz++++=,
expected ^vpbn+vprv++xvbn+=expected
repair ^vb++++=repair
cost ^nn++++=cost
for ^in++++=for
pothole ^nn+++??+=pothole
damage ^nn++++=damage
to ^in++++=to
your ^pp$+pp2+++=your
car ^nn++++=car
, ^zz++++=,
how ^wrb+who+++=how
insurance ^nn+nom+++=insurance
relates ^nns+nom+++=relates
to ^in++++=to
pothole ^jj+atrb++??+=pothole
damage ^nn++++=damage
, ^zz++++=,
and ^cc+cls+++=and
how ^wrb+who+++=how
you ^pp2+pp2+++=you
can ^md+pos+++=can
find ^vb+vprv+++=find
the ^ati++++=the
cheapest ^jjt+atrb+++=cheapest
insurance ^nn+nom+++=insurance
at ^in++++=at
quotewizard ^np++++=Quotewizard
. ^zz++++=.
