Write ^vb++++=Write
two ^cd++++=two
paragraphs ^nns++++=paragraphs
on ^in++++=on
what ^wdt+who+++=what
happens ^vbz+vsua+++=happens
next ^ap++++=next
. ^zz++++=.
When ^wrb+who+++=When
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
known ^vprf+++xvbn+=known
that ^tht+vcmp+++=that
Ego ^nn++++=Ego
Must ^md+nec+++=Must
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
implicated ^vpsv++agls+xvbnx+=implicated
in ^in++++=in
the ^ati++++=the
Zucker ^np+++??+=Zucker
& ^zz++++=&
Tucker ^np++++=Tucker
enterprise ^nn++++=enterprise
Polar ^jj+atrb+++=Polar
Pursuits ^nns++++=Pursuits
, ^zz++++=,
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
crystal ^nn++++=crystal
clear ^jj++++=clear
to ^in++++=to
almost ^rb+hdg+++=almost
everyone ^pn++++=everyone
that ^cs+sub+++=that
the ^ati++++=the
corporate ^jj+atrb+++=corporate
hijacking ^nn++++=hijacking
of ^in++++=of
the ^ati++++=the
internet ^np++++=Internet
needed ^vbd+++xvbn+=needed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
unravelled ^jj+pred+++=unravelled
. ^zz++++=.
