Write ^vb++++=Write
a ^at++++=a
biographical ^jj+atrb+++=biographical
essay ^nn++++=essay
about ^in++++=about
the ^ati++++=the
author ^nn++++=author
Jr ^np+++??+=JR
Moehringer ^np+nom++??+=Moehringer
, ^zz++++=,
describing ^vbg+++xvbg+=describing
his ^pp$+pp3+++=his
biographies ^nns++++=biographies
of ^in++++=of
famous ^jj+atrb+++=famous
people ^nns++++=people
. ^zz++++=.
Do ^vb+do+vrb++=Do
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
humorous ^jj+atrb+++=humorous
way ^nn++++=way
, ^zz++++=,
making ^vbg+++xvbg+=making
jokes ^nns++++=jokes
about ^in++++=about
ghostwriting ^nn++++=ghostwriting
. ^zz++++=.
