Write ^vb++++=Write
an ^at++++=an
interview ^nn++++=interview
between ^in++++=between
a ^at++++=a
Female ^jj+atrb+++=Female
Film ^nn++++=Film
director ^nn++++=director
and ^cc++++=and
a ^at++++=a
journalist ^nn+nom+++=journalist
. ^zz++++=.
Use ^nn++++=Use
advanced ^vbd+++xvbn+=advanced
English ^jj++++=English
to ^to++++=to
talk ^vbi++++=talk
about ^in++++=about
the ^ati++++=the
low ^jj+atrb+++=low
number ^nn++++=number
of ^in++++=of
Female ^jj+atrb+++=Female
Film ^nn++++=Film
Directors ^nns++++=Directors
in ^in++++=in
World ^nn++++=World
Films ^nns++++=Films
. ^zz++++=.
Also ^rb++++=Also
include ^vb++++=include
many ^ap++++=many
questions ^nns+nom+++=questions
and ^cc++++=and
answer ^nn++++=answer
where ^wrb+who+++=where
the ^ati++++=the
director ^nn++++=director
cheer ^nn++++=cheer
up ^rp++++=up
new ^jj+atrb+++=new
generations ^nns+nom+++=generations
to ^to++++=to
make ^vbi++++=make
films ^nns++++=films
, ^zz++++=,
where ^wrb+who+++=where
female ^jj+atrb+++=female
rights ^nns++++=rights
can ^md+pos+++=can
be ^vb+be+vrb++=be
outstanding ^jj+pred+++=outstanding
. ^zz++++=.
