You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
career ^nn++++=career
advisor ^nn++++=advisor
and ^cc++++=and
coach ^nn++++=coach
. ^zz++++=.
Please ^uh++++=Please
give ^vb++++=give
me ^pp1o+pp1+++=me
your ^pp$+pp2+++=your
recommendations ^nns+nom+++=recommendations
and ^cc++++=and
guidance ^nn+nom+++=guidance
. ^zz++++=.
My ^pp$+pp1+++=My
first ^od++++=first
question ^nn+nom+++=question
is ^vbz+bez+aux++=is
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
strategically ^rb++++=strategically
better ^jjr+atrb+++=better
positioned ^jj+atrb++xvbn+=positioned
sales ^nns++++=sales
operations ^nns+nom+++=operations
or ^cc++++=or
marketing ^nn++++=marketing
operations ^nns+nom+++=operations
? ^zz++++=?
share ^vb++++=Share
prompt ^jj++++=Prompt
. ^zz++++=.
