Write ^vb++++=Write
a ^at++++=a
short ^jj+atrb+++=short
story ^nn++++=story
about ^in++++=about
3 ^zz++++=3
cats ^nns++++=cats
. ^zz++++=.
Marcy ^np+++??+=Marcy
is ^vbz+bez+vrb++=is
a ^at++++=a
black ^jj+atrb+++=black
munchkin ^nn+++??+=munchkin
cat ^nn++++=cat
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
a ^at++++=a
bit ^nn++++=bit
shy ^jj++++=shy
but ^cc++++=but
can ^md+pos+++=can
be ^vb+be+vrb++=be
quite ^rb++++=quite
angry ^jj+pred+++=angry
. ^zz++++=.
Tilly ^np++++=Tilly
is ^vbz+bez+vrb++=is
a ^at++++=a
normal ^jj+atrb+++=normal
size ^nn++++=size
tortie ^nn+++??+=tortie
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
a ^at++++=a
crazy ^jj+atrb+++=crazy
, ^zz++++=,
unpredictable ^jj+atrb+++=unpredictable
personality ^nn+nom+++=personality
. ^zz++++=.
Jmo ^np+++??+=JMO
is ^vbz+bez+vrb++=is
another ^ppls++++=another
black ^np++++=black
munchkin ^nn+++??+=munchkin
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
young ^jj+pred+++=young
and ^cc++++=and
very ^ql+amp+++=very
friendly ^jj++++=friendly
and ^cc+phrs+++=and
playful ^jj++++=playful
. ^zz++++=.
