What ^wdt+who+++=What
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
effective ^jj+atrb+++=effective
way ^nn++++=way
to ^in++++=to
approach ^nn++++=approach
restaurant ^nn+nom+++=restaurant
managers ^nns+nom+++=managers
and ^cc++++=and
owners ^nns++++=owners
about ^in++++=about
their ^pp$+pp3+++=their
point ^nn++++=point
of ^in++++=of
sale ^nn++++=sale
solution ^nn+nom+++=solution
with ^in++++=with
a ^at++++=a
view ^nn++++=view
to ^to++++=to
changing ^vbi++++=changing
them ^pp3o+pp3+++=them
to ^to++++=to
using ^vbg+++xvbg+=using
my ^pp$+pp1+++=my
solution ^nn+nom+++=solution
? ^zz++++=?
