Write ^vb++++=Write
a ^at++++=a
Java ^np+++??+=Java
class ^nn++++=class
for ^in++++=for
a ^at++++=a
Gui ^np+++??+=GUI
of ^in++++=of
a ^at++++=a
voice ^nn++++=voice
recorder ^nn+nom+++=recorder
application ^nn+nom+++=application
it ^pp3+it+++=it
must ^md+nec+++=must
have ^vb+hv+vrb++=have
button ^nn++++=button
to ^to++++=to
start ^vbi++++=start
and ^cc+phrs+++=and
stop ^vb++++=stop
recording ^vbg+vpub++xvbg+=recording
, ^zz++++=,
time ^nn++++=time
of ^in++++=of
recording ^vbg+vpub+++=recording
that ^tht+vcmp+++=that
resets ^nns++++=resets
on ^in++++=on
stop ^nn++++=stop
. ^zz++++=.
