Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
love ^nn++++=love
poem ^nn++++=poem
for ^in++++=for
my ^pp$+pp1+++=my
wife ^nn++++=wife
Nicola ^np+++??+=Nicola
. ^zz++++=.
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
Jamaican ^np+nom++??+=Jamaican
but ^cc++++=but
lives ^nns++++=lives
in ^in++++=in
the ^ati++++=the
Us ^pp1o+pp1+++=US
. ^zz++++=.
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
together ^nn+nom+++=together
since ^in++++=since
2013 ^cd++++=2013
. ^zz++++=.
We ^pp1a+pp1+++=We
live ^vb++++=live
in ^in++++=in
miami ^np++++=Miami
now ^rn+tm+++=now
but ^cc++++=but
consider ^nn+nom+++=consider
ourselves ^ppls+pp1+++=ourselves
new ^jj+atrb+++=New
yorkers ^nns+nom+++=Yorkers
. ^zz++++=.
